,movie,year,imdb,score,vote
0,Raised by Wolves,(2020– ),0,0,0
1,Dark,(2017–2020),8.8,0,240292
2,The Boys,(2019– ),8.7,0,159125
3,Yellowstone,(2018– ),8.5,0,19444
4,Cursed,(2020– ),5.8,0,16894
5,Perry Mason,(2020– ),7.6,0,7604
6,Knives Out,(2019),7.9,82,367393
7,365 dni,(2020),3.3,0,32324
8,The Old Guard,(2020),6.7,70,88744
9,Dil Bechara,(2020),8.9,0,96753
10,Jojo Rabbit,(2019),7.9,0,247486
11,Ratched,(2020– ),0,0,0
12,Raat Akeli Hai,(2020),7.4,0,9374
13,Black Is King,(2020),5.4,84,6571
14,An American Pickle,(2020),5.8,0,6430
15,Good Girls,(2018– ),7.9,0,27973
16,The Kissing Booth 2,(2020),5.9,0,13343
17,Hamilton,(2020),8.8,90,34162
18,The Deceived,(2020– ),5.6,0,398
19,Greyhound,(2020),7.1,64,43002
20,The Alienist,(2018–2020),7.7,0,36578
21,Palm Springs,(2020),7.5,83,38729
22,La Casa de Papel,(2017– ),8.4,0,264362
23,Doom Patrol,(2019– ),8.0,0,29062
24,Ozark,(2017– ),8.4,0,166779
25,The Tax Collector,(2020),4.7,0,3130
26,Tenet,(2020),0,0,0
27,The Rental,(2020),5.8,63,7373
28,After We Collided,(2020),0,0,0
29,Eurovision Song Contest: The Story of Fire Saga,(2020),6.5,0,58648
30,Deep Blue Sea 3,(2020),4.6,0,2342
31,Lootcase,(2020),7.8,0,8085
32,The Kissing Booth,(2018),6.0,0,60173
33,Euphoria,(2019– ),8.3,0,45301
34,Dune,(I) (2020),0,0,0
35,In the Dark,(2019– ),7.4,0,5057
36,Honest Thief,(2020),0,0,0
37,The Gentlemen,(2019),7.9,0,173605
38,Charlie's Angels,(2019),4.7,0,48512
39,Once Upon a Time... in Hollywood,(2019),7.7,83,501414
40,The Mandalorian,(2019– ),8.7,0,183289
41,Joker,(2019),8.5,0,843047
42,Brave New World,(2020– ),7.1,0,4043
43,Unhinged,(2020),6.2,0,2346
44,I'm Thinking of Ending Things,(2020),0,0,0
45,Avengers: Endgame,(2019),8.4,78,748785
46,Succession,(2018– ),8.5,0,32373
47,Little Birds,(2020– ),4.6,0,239
48,Warrior Nun,(2020– ),6.9,0,15457
49,The Outpost,(2020),6.7,71,8533
